method,patch_id,split,image_name,city,x,y,seconds,iou,dice,precision,recall,f1,n_pred,n_gt,count_err,area_ratio_pred,area_ratio_gt,area_abs_error,selected_c,threshold
K-Means,test_austin30_3584_3072,test,austin30.tif,austin,3072,3584,0.08228928600010477,0.34315190666730944,0.5109651484153476,0.42123826770348805,0.6492629889083479,0.5109651484153476,36.0,42.0,6.0,32.22999572753906,20.91064453125,11.319351196289062,,
K-Means,test_austin30_4096_3584,test,austin30.tif,austin,3584,4096,0.08346686499999123,0.29778504908129877,0.458912744128314,0.5095944694506063,0.41740020109721465,0.45891274412831407,45.0,41.0,4.0,17.712783813476562,21.625137329101562,3.912353515625,,
K-Means,test_austin33_0_0,test,austin33.tif,austin,0,0,0.0819698679999874,0.3514134866002807,0.5200680473958025,0.37242805640745963,0.8616468660385088,0.5200680473958025,10.0,10.0,0.0,53.85856628417969,23.279190063476562,30.579376220703125,,
K-Means,test_austin33_0_512,test,austin33.tif,austin,512,0,0.08164930800001002,0.26142671680544366,0.4144937051396936,0.3001863393947182,0.6693890417239798,0.4144937051396936,25.0,6.0,19.0,29.684066772460938,13.311767578125,16.372299194335938,,
K-Means,test_austin33_1024_0,test,austin33.tif,austin,0,1024,0.08399092000001929,0.25288196474814134,0.4036804293834281,0.3687327760775895,0.44594619478151987,0.403680429383428,39.0,47.0,8.0,25.054550170898438,20.716476440429688,4.33807373046875,,
K-Means,test_austin33_1024_4096,test,austin33.tif,austin,4096,1024,0.08173341799999889,0.28432430231848066,0.4427609160789286,0.41401387159879066,0.47579793575637835,0.44276091607892853,30.0,12.0,18.0,12.870025634765625,11.198806762695312,1.6712188720703125,,
K-Means,test_austin33_1536_1536,test,austin33.tif,austin,1536,1536,0.08210340899995572,0.3326457990727579,0.499226124907623,0.5196145305719635,0.4803772926701641,0.499226124907623,33.0,15.0,18.0,26.284408569335938,28.431320190429688,2.14691162109375,,
K-Means,test_austin33_3584_0,test,austin33.tif,austin,0,3584,0.08076328700008162,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,55.216217041015625,0.0,55.216217041015625,,
K-Means,test_austin33_3584_1024,test,austin33.tif,austin,1024,3584,0.08118959299997641,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,74.70741271972656,0.0,74.70741271972656,,
K-Means,test_austin35_0_0,test,austin35.tif,austin,0,0,0.08250427999996646,0.2181926785561908,0.35822359204258897,0.278146415751115,0.5030493802872319,0.35822359204258897,40.0,16.0,24.0,31.561660766601562,17.451095581054688,14.110565185546875,,
K-Means,test_austin35_0_4096,test,austin35.tif,austin,4096,0,0.0825323120000121,0.32763693979176095,0.4935640610348649,0.48061758114053293,0.507227332457293,0.4935640610348649,24.0,12.0,12.0,18.38226318359375,17.41790771484375,0.96435546875,,
K-Means,test_austin35_1536_0,test,austin35.tif,austin,0,1536,0.08116517200005546,0.00612565053910705,0.012176710803118426,0.006339171441087795,0.15387823185988322,0.012176710803118426,12.0,4.0,8.0,44.41032409667969,1.82952880859375,42.58079528808594,,
K-Means,test_austin35_2048_2560,test,austin35.tif,austin,2560,2048,0.08285692100002962,0.31367349103638487,0.4775516795865633,0.4190700245177931,0.5550029092137615,0.4775516795865633,32.0,49.0,17.0,26.916885375976562,20.324325561523438,6.592559814453125,,
K-Means,test_austin35_2560_0,test,austin35.tif,austin,0,2560,0.0830732579998994,0.014766229397914565,0.029102721336471214,0.015007007828256931,0.47925764192139736,0.029102721336471214,25.0,5.0,20.0,22.318267822265625,0.6988525390625,21.619415283203125,,
K-Means,test_austin35_2560_3072,test,austin35.tif,austin,3072,2560,0.08674497100003009,0.13455911154120873,0.23720070672813307,0.15149746423336835,0.5461772270282909,0.23720070672813307,33.0,24.0,9.0,29.410171508789062,8.157730102539062,21.25244140625,,
K-Means,test_austin35_3584_3072,test,austin35.tif,austin,3072,3584,0.08085949500002698,0.12997582368154728,0.2300506275578112,0.13343626892162946,0.8336639019112874,0.2300506275578112,8.0,3.0,5.0,52.870941162109375,8.4625244140625,44.408416748046875,,
K-Means,test_austin9_0_1024,test,austin9.tif,austin,1024,0,0.08469066700001804,0.26883980840872806,0.423756894490699,0.38495440343434856,0.4712586488377517,0.423756894490699,46.0,51.0,5.0,30.034637451171875,24.534225463867188,5.5004119873046875,,
K-Means,test_austin9_0_2048,test,austin9.tif,austin,2048,0,0.08123527200007175,0.2561614088842351,0.40784791997672704,0.3028145612839982,0.624438962551821,0.407847919976727,27.0,49.0,22.0,45.919036865234375,22.267913818359375,23.651123046875,,
K-Means,test_austin9_0_4096,test,austin9.tif,austin,4096,0,0.08172061499999472,0.03344475562381426,0.06472480593048464,0.03654996741899177,0.28246604608576226,0.06472480593048466,29.0,5.0,24.0,19.318771362304688,2.4997711181640625,16.819000244140625,,
K-Means,test_austin9_1024_512,test,austin9.tif,austin,512,1024,0.08310818300003575,0.2836453832613218,0.4419372935236552,0.4723675005829641,0.41519046643047464,0.44193729352365513,44.0,64.0,20.0,22.902679443359375,26.056671142578125,3.15399169921875,,
K-Means,test_austin9_1024_4096,test,austin9.tif,austin,4096,1024,0.08330638699999326,0.10777549092381403,0.19458002421399692,0.11382019669327252,0.6698998584386305,0.19458002421399692,30.0,20.0,10.0,42.822265625,7.2757720947265625,35.54649353027344,,
K-Means,test_austin9_1536_0,test,austin9.tif,austin,0,1536,0.0805807699999832,0.22135262263330566,0.3624712773876177,0.323339636531605,0.4123787256760986,0.36247127738761775,39.0,45.0,6.0,26.427078247070312,20.721054077148438,5.706024169921875,,
K-Means,test_austin9_1536_2048,test,austin9.tif,austin,2048,1536,0.08265640700005861,0.24650210698378897,0.3955101328793739,0.39628009016502125,0.3947431617876612,0.39551013287937387,25.0,22.0,3.0,31.646347045898438,31.769561767578125,0.1232147216796875,,
